transaction,location,total_amount,limit,result
3,5,16739,50000,0
2,1,1629,50000,0
2,5,33740,50000,1
5,3,19775,50000,2
4,2,2030,50000,2
3,1,1238,50000,0
4,5,4561,50000,0
2,2,30716,50000,2
2,4,15481,50000,1
5,3,3190,50000,2
4,5,15798,50000,0
2,3,4000,50000,1
4,5,5420,50000,1
2,4,47119,50000,1
3,3,47275,50000,0
1,1,27375,50000,2
5,3,470,50000,0
3,5,37329,50000,1
3,4,20921,50000,1
3,1,6974,50000,2
5,1,30505,50000,2
1,5,4900,50000,1
4,1,37577,50000,1
4,5,4704,50000,2
4,2,13071,50000,0
4,2,35145,50000,0
5,1,44419,50000,2
1,3,6886,50000,1
3,2,268,50000,0
2,4,32377,50000,2
1,1,26433,50000,0
3,2,40193,50000,0
2,2,48793,50000,2
5,1,1247,50000,2
4,4,11800,50000,2
1,4,36106,50000,1
1,2,29655,50000,1
5,5,48079,50000,2
4,3,33403,50000,1
2,1,8604,50000,2
2,3,49965,50000,0
5,2,38036,50000,1
3,5,38081,50000,0
5,4,3841,50000,1
4,2,46507,50000,1
5,4,3455,50000,0
2,2,40768,50000,2
3,5,7154,50000,2
3,5,5805,50000,0
5,5,31290,50000,1
5,5,5445,50000,2
3,1,153,50000,1
3,5,21737,50000,0
5,2,47244,50000,1
4,4,30549,50000,2
1,1,32065,50000,2
1,2,39045,50000,1
4,5,18650,50000,1
5,4,47270,50000,2
4,5,9522,50000,0
3,1,44519,50000,1
2,2,38517,50000,1
4,2,36662,50000,0
5,5,8907,50000,1
2,5,14388,50000,1
4,1,1476,50000,2
5,3,35857,50000,0
2,1,991,50000,2
1,1,30465,50000,1
5,4,15414,50000,0
1,2,36353,50000,1
5,4,42418,50000,1
4,2,26357,50000,0
4,3,24648,50000,2
4,1,27310,50000,2
1,4,44769,50000,2
3,2,11199,50000,1
5,1,25634,50000,0
5,2,31095,50000,1
1,4,41528,50000,0
2,3,47825,50000,1
3,2,6320,50000,2
5,1,36933,50000,1
3,4,8817,50000,1
2,2,11094,50000,0
3,4,23345,50000,0
2,3,17217,50000,1
1,5,304,50000,0
5,5,28282,50000,0
4,2,8851,50000,1
3,5,34497,50000,0
2,1,33592,50000,1
5,5,41504,50000,1
3,1,11793,50000,0
3,1,3159,50000,1
1,2,31550,50000,1
3,4,35180,50000,2
4,4,14575,50000,0
2,3,16585,50000,0
5,1,42417,50000,2
3,2,24568,50000,0
1,1,13222,50000,1
4,1,16937,50000,0
3,2,44580,50000,2
2,5,23100,50000,0
1,4,12571,50000,0
4,2,29350,50000,0
2,5,39688,50000,1
1,4,24049,50000,0
5,5,23882,50000,0
2,1,2945,50000,0
1,1,47214,50000,0
1,1,18260,50000,0
3,5,3857,50000,1
1,3,25302,50000,0
5,2,20702,50000,2
5,2,24781,50000,0
2,4,13136,50000,0
4,3,46454,50000,0
1,4,10651,50000,2
1,4,6513,50000,0
4,2,26408,50000,1
2,2,40868,50000,1
5,2,11178,50000,2
2,1,23845,50000,0
3,2,37068,50000,1
2,3,26046,50000,1
2,5,11501,50000,0
1,3,30440,50000,1
1,3,1583,50000,0
1,3,2066,50000,1
2,3,11761,50000,0
3,5,11073,50000,2
5,2,22016,50000,2
1,5,11415,50000,1
5,1,20170,50000,0
1,5,23008,50000,2
5,3,44730,50000,2
3,5,15387,50000,2
5,4,18003,50000,2
5,4,47501,50000,2
3,3,29184,50000,2
2,2,17116,50000,0
2,3,25644,50000,2
5,3,9818,50000,2
5,4,14911,50000,1
4,4,27197,50000,0
4,3,3846,50000,2
2,3,25106,50000,1
5,4,40764,50000,1
2,5,9444,50000,0
5,1,31667,50000,1
2,3,14402,50000,0
3,1,28771,50000,1
5,3,8682,50000,2
3,5,36914,50000,2
2,2,32197,50000,2
2,3,29231,50000,2
2,3,19726,50000,1
3,3,30141,50000,2
5,3,30219,50000,2
3,2,19148,50000,1
4,2,16446,50000,1
5,3,16927,50000,2
2,3,10133,50000,2
1,4,19793,50000,1
4,1,17932,50000,2
2,2,112,50000,2
4,4,37616,50000,2
4,3,28522,50000,0
2,3,21472,50000,0
5,3,48298,50000,2
4,5,21024,50000,2
2,2,20974,50000,1
2,1,7273,50000,2
5,1,18245,50000,2
5,4,25590,50000,2
3,5,8476,50000,0
3,4,35777,50000,2
5,5,45252,50000,2
3,5,24908,50000,2
3,4,1486,50000,2
4,5,6629,50000,0
4,3,48019,50000,2
3,1,8735,50000,2
1,4,2186,50000,1
3,3,20027,50000,0
4,4,15092,50000,2
4,1,39854,50000,2
1,1,31119,50000,1
3,3,20951,50000,0
2,1,48422,50000,2
4,5,12423,50000,0
1,2,17763,50000,2
3,1,7337,50000,0
3,4,44597,50000,2
3,2,11094,50000,2
3,4,34378,50000,1
1,3,43041,50000,0
3,2,38105,50000,2
2,2,32221,50000,0
2,4,31298,50000,2
3,5,22367,50000,0
5,4,46488,50000,1
3,3,5582,50000,1
5,4,44462,50000,0
1,3,10511,50000,2
4,5,45363,50000,0
2,5,48488,50000,0
2,5,15066,50000,0
3,5,37046,50000,2
3,3,15324,50000,1
4,3,49162,50000,1
3,2,4988,50000,0
3,5,6544,50000,2
1,2,27514,50000,1
4,4,47965,50000,1
2,3,34120,50000,0
2,2,11002,50000,0
1,3,44555,50000,1
2,5,10351,50000,1
5,3,23310,50000,1
1,4,24218,50000,0
3,2,41596,50000,0
3,2,31339,50000,1
2,3,45397,50000,2
3,5,3574,50000,1
3,5,6070,50000,2
3,2,40155,50000,1
5,5,21555,50000,1
5,3,39945,50000,2
4,2,16817,50000,1
3,3,28059,50000,1
2,1,18298,50000,2
1,3,17777,50000,0
4,3,45091,50000,0
2,5,9146,50000,1
1,2,31221,50000,0
3,3,9945,50000,2
5,4,10346,50000,0
4,1,41693,50000,1
3,4,25793,50000,1
4,3,33284,50000,2
2,5,43677,50000,0
3,3,6472,50000,2
4,4,9425,50000,2
1,4,4131,50000,1
1,3,48913,50000,0
2,2,3469,50000,2
3,4,42295,50000,2
4,3,8464,50000,1
2,3,6054,50000,0
4,2,12824,50000,0
5,1,26297,50000,0
2,4,19883,50000,1
1,3,12969,50000,2
2,3,2153,50000,0
2,5,22852,50000,0
3,4,810,50000,2
3,4,28169,50000,2
3,5,40758,50000,2
1,4,4636,50000,1
2,1,27996,50000,1
2,4,45839,50000,0
1,5,26119,50000,2
3,3,11842,50000,2
5,2,48132,50000,2
4,1,13675,50000,0
4,2,41364,50000,0
3,4,32789,50000,1
4,4,21736,50000,1
3,4,42524,50000,2
1,4,46654,50000,1
1,2,18511,50000,0
3,2,312,50000,1
5,5,23231,50000,2
1,5,16712,50000,2
4,1,25514,50000,0
1,3,23678,50000,1
3,2,23934,50000,2
4,2,20379,50000,1
3,5,15675,50000,1
2,1,41843,50000,1
1,2,35399,50000,1
2,5,36640,50000,1
1,1,21289,50000,1
1,2,41036,50000,2
3,1,16348,50000,1
3,2,38150,50000,0
3,5,33953,50000,1
3,4,49454,50000,1
1,2,28781,50000,2
3,4,5094,50000,2
5,4,4807,50000,1
1,3,33957,50000,2
2,5,40079,50000,1
5,3,27937,50000,0
4,5,14420,50000,2
5,5,13624,50000,2
3,1,42460,50000,0
1,2,35693,50000,2
2,2,48152,50000,2
5,2,20769,50000,0
5,1,2329,50000,1
5,1,12559,50000,0
3,4,15465,50000,0
1,4,39310,50000,1
5,1,29399,50000,0
2,4,30305,50000,2
3,1,18007,50000,0
5,4,19081,50000,0
2,3,38046,50000,2
3,2,19396,50000,2
4,2,25952,50000,2
3,3,36864,50000,0
2,3,11344,50000,0
3,1,262,50000,1
3,2,41057,50000,1
1,4,22538,50000,0
3,4,25754,50000,2
3,2,5124,50000,2
3,1,20533,50000,0
1,3,42410,50000,2
3,3,20208,50000,2
5,3,29866,50000,2
5,1,4498,50000,0
5,2,1803,50000,1
1,4,1554,50000,0
1,4,17645,50000,0
3,5,20854,50000,2
4,3,15442,50000,0
4,4,44230,50000,0
1,4,28133,50000,1
3,4,25514,50000,2
1,5,29289,50000,1
1,2,40596,50000,0
2,3,9758,50000,1
2,4,3733,50000,0
3,1,33393,50000,2
4,4,860,50000,1
4,1,4789,50000,0
2,4,22057,50000,0
1,5,49492,50000,0
3,1,25140,50000,2
5,5,29329,50000,1
1,2,48215,50000,0
5,3,32701,50000,1
1,2,28029,50000,2
1,5,22088,50000,0
2,3,468,50000,2
1,5,44491,50000,2
3,4,23775,50000,0
2,1,1708,50000,0
2,5,48458,50000,2
5,2,26855,50000,2
4,1,19339,50000,0
3,4,26768,50000,1
4,3,38802,50000,1
3,1,47330,50000,1
5,2,8935,50000,0
5,3,9718,50000,2
4,2,4860,50000,0
3,4,16285,50000,2
1,4,446,50000,0
5,1,19278,50000,2
2,5,29360,50000,2
2,4,40788,50000,0
2,4,30051,50000,0
4,5,36482,50000,2
3,1,19465,50000,2
4,1,40139,50000,1
5,1,35451,50000,1
2,2,49434,50000,1
4,4,34371,50000,0
2,5,46912,50000,2
2,2,26974,50000,2
4,4,33132,50000,1
3,5,1392,50000,0
2,4,8460,50000,2
2,1,22380,50000,0
5,1,4076,50000,0
3,3,43942,50000,0
4,2,3274,50000,2
2,2,11381,50000,2
4,4,8572,50000,1
1,4,20840,50000,1
3,2,13877,50000,2
3,4,26538,50000,2
2,3,13597,50000,0
3,4,36970,50000,2
2,5,38507,50000,0
5,5,17124,50000,1
5,2,25144,50000,1
1,4,49932,50000,2
3,2,37552,50000,0
1,1,7023,50000,1
5,2,15213,50000,1
3,1,37474,50000,0
3,4,31250,50000,1
2,1,44668,50000,0
1,1,20255,50000,1
4,2,1581,50000,0
4,1,16415,50000,2
3,1,43772,50000,2
4,2,1080,50000,2
2,1,22898,50000,0
5,5,26870,50000,2
2,5,13399,50000,2
4,4,21320,50000,1
3,2,24520,50000,2
4,5,6985,50000,1
2,3,26982,50000,2
4,2,38775,50000,2
1,5,11515,50000,2
3,3,45496,50000,2
2,3,30024,50000,0
2,2,21096,50000,1
5,4,10574,50000,1
1,1,1856,50000,0
5,5,41328,50000,0
4,4,7923,50000,2
2,3,5786,50000,0
3,4,9369,50000,2
2,5,2505,50000,2
1,2,43511,50000,2
4,3,46230,50000,2
5,4,19609,50000,0
3,3,33608,50000,2
5,3,40115,50000,0
1,2,14600,50000,0
3,4,10586,50000,0
5,3,19951,50000,1
4,3,8340,50000,0
1,3,28490,50000,2
2,5,10365,50000,2
2,3,1809,50000,1
4,5,33639,50000,2
5,3,3707,50000,0
4,2,6145,50000,2
3,3,2582,50000,1
3,3,3525,50000,1
2,3,18666,50000,1
4,1,33943,50000,2
4,5,39132,50000,0
5,5,20398,50000,1
1,2,12637,50000,2
2,1,44576,50000,0
3,2,16602,50000,2
1,4,36799,50000,1
4,1,46920,50000,0
4,5,36022,50000,2
2,3,18234,50000,0
3,2,6501,50000,2
2,5,12705,50000,1
4,2,2544,50000,0
3,2,47062,50000,0
3,1,3281,50000,2
4,1,44246,50000,2
2,5,11553,50000,2
2,4,36922,50000,1
1,4,11699,50000,1
4,5,10797,50000,1
1,4,46641,50000,0
3,1,42124,50000,0
2,2,21006,50000,1
4,5,46388,50000,1
5,4,21108,50000,2
3,4,37305,50000,1
5,3,26591,50000,1
5,3,18468,50000,2
4,1,28296,50000,1
1,5,20270,50000,1
2,3,23061,50000,1
4,2,1828,50000,2
5,5,26258,50000,1
3,2,21344,50000,0
2,1,27065,50000,1
1,4,41133,50000,0
3,1,29370,50000,2
4,3,13074,50000,2
5,3,4929,50000,1
2,2,28272,50000,0
4,5,4602,50000,0
4,4,11323,50000,0
5,1,33269,50000,0
2,4,36165,50000,1
3,4,18648,50000,1
5,2,9003,50000,1
1,2,17442,50000,2
4,1,23756,50000,1
4,1,43008,50000,1
2,3,11273,50000,1
1,2,12141,50000,1
1,2,39079,50000,0
4,2,8747,50000,0
5,5,34716,50000,1
4,3,12978,50000,2
2,1,36210,50000,1
4,5,7401,50000,2
2,5,24001,50000,1
4,2,41227,50000,2
1,1,48615,50000,0
4,2,9895,50000,0
2,3,34889,50000,0
5,3,43693,50000,2
2,4,34395,50000,2
2,4,11718,50000,0
2,2,16064,50000,1
5,2,8408,50000,2
5,3,31393,50000,2
3,4,27191,50000,0
3,1,29678,50000,0
1,1,33149,50000,1
2,3,40090,50000,2
4,1,48962,50000,0
5,2,2455,50000,0
1,5,2237,50000,1
2,3,26513,50000,1
4,4,45342,50000,2
5,2,4768,50000,0
2,3,33492,50000,2
2,5,20391,50000,2
1,1,2103,50000,1
5,3,15109,50000,1
2,3,33767,50000,1
2,5,16404,50000,2
3,3,33705,50000,0
4,2,33676,50000,0
4,3,10172,50000,1
1,2,3635,50000,1
1,5,1567,50000,1
4,1,41555,50000,2
4,2,29736,50000,0
2,5,33505,50000,0
5,2,38233,50000,2
2,2,12216,50000,1
1,1,19172,50000,1
3,2,6207,50000,0
4,2,2178,50000,2
4,1,18677,50000,1
1,2,15598,50000,2
2,3,48762,50000,0
1,4,32157,50000,0
2,2,11159,50000,0
4,3,49546,50000,0
4,1,20967,50000,0
4,2,9183,50000,2
5,4,46590,50000,2
2,5,46140,50000,2
1,3,19829,50000,0
4,5,13137,50000,0
5,4,20000,50000,1
3,5,3681,50000,2
1,2,35599,50000,0
2,1,29714,50000,1
4,3,15162,50000,0
2,3,48170,50000,2
4,1,39583,50000,1
5,4,17681,50000,1
1,3,21812,50000,0
2,3,21182,50000,0
4,2,39432,50000,1
2,4,6992,50000,1
2,1,30638,50000,2
1,1,5301,50000,1
4,2,30696,50000,1
2,2,18687,50000,2
3,3,32078,50000,1
5,1,32150,50000,2
1,4,36063,50000,2
1,4,47959,50000,0
3,4,14826,50000,1
4,4,47623,50000,0
2,3,22417,50000,1
2,1,43314,50000,0
2,5,15549,50000,0
4,5,18507,50000,2
5,2,14428,50000,2
1,1,43562,50000,0
1,1,29076,50000,2
5,3,34668,50000,0
1,1,24915,50000,2
4,5,5258,50000,0
3,3,5042,50000,0
4,3,33506,50000,0
5,2,47162,50000,0
3,5,5479,50000,1
4,2,5399,50000,2
5,5,40218,50000,1
2,2,47301,50000,0
5,3,41562,50000,2
4,4,27591,50000,0
4,4,21456,50000,1
5,1,34265,50000,0
2,4,49413,50000,0
4,5,21213,50000,2
3,3,5117,50000,1
2,5,21227,50000,0
4,3,48702,50000,1
1,4,43023,50000,2
5,1,45752,50000,2
1,1,15921,50000,1
1,1,2587,50000,0
1,5,39498,50000,0
1,3,7251,50000,1
5,4,35976,50000,2
4,1,8104,50000,0
4,3,3847,50000,2
2,2,22419,50000,2
2,5,38598,50000,1
5,2,28251,50000,0
1,4,35394,50000,2
2,2,45093,50000,2
1,1,47759,50000,1
1,1,35626,50000,0
1,3,38126,50000,1
5,3,2838,50000,0
1,3,44796,50000,0
3,5,13529,50000,0
1,4,30543,50000,1
4,1,45960,50000,2
2,5,7797,50000,2
4,1,46298,50000,1
5,4,3442,50000,1
1,4,6337,50000,2
2,2,39436,50000,1
2,3,4303,50000,2
2,1,46498,50000,2
1,5,36883,50000,2
2,4,9058,50000,1
1,5,27285,50000,2
4,2,22451,50000,1
4,4,41513,50000,0
5,2,19397,50000,2
3,5,6473,50000,0
4,5,19107,50000,2
5,3,6906,50000,2
4,2,8328,50000,1
4,5,46061,50000,0
2,3,17582,50000,2
5,4,4041,50000,2
3,5,1171,50000,0
4,5,49498,50000,0
5,4,47538,50000,1
5,4,16302,50000,0
3,3,46550,50000,2
3,4,35230,50000,1
1,1,29214,50000,1
4,1,30244,50000,0
2,2,47135,50000,2
1,5,5780,50000,0
3,1,509,50000,0
2,5,34001,50000,0
3,1,6509,50000,1
3,5,32635,50000,1
2,3,42021,50000,0
5,1,6737,50000,1
1,3,19205,50000,0
4,3,19118,50000,2
3,2,45391,50000,1
2,1,4409,50000,1
4,5,14114,50000,1
2,1,11001,50000,2
5,2,30961,50000,0
1,4,19595,50000,0
5,3,13294,50000,1
2,1,20674,50000,2
1,2,19057,50000,0
2,1,16673,50000,1
2,4,28803,50000,0
5,2,3418,50000,2
3,5,15837,50000,0
3,1,38325,50000,1
4,5,25050,50000,0
3,5,17185,50000,0
2,2,36736,50000,1
1,5,17651,50000,1
3,3,11102,50000,2
,,2300,50000,0
,,9900,50000,0
,,4158.42,50000,0
,,36500,50000,2
,,20990.44,50000,2
,,25600,50000,2
,,40000,50000,2
,,41138.96,50000,2
,,10400,50000,2
,,10000,50000,0
,,9600,50000,2
,,2700,50000,0
,,17100,50000,0
,,4500,50000,0
,,3600,50000,2
,,30000,50000,2
,,48663.33,50000,2
,,3700,50000,0
,,7162.71,50000,0
,,41818.78,50000,2
,,14815.49,50000,2
,,42692.03,50000,2
,,9370.66,50000,0
,,16213.4,50000,2
,,40000,50000,0
,,30151.03,50000,2
,,38011.79,50000,2
,,43000,50000,2
,,44500,50000,2
,,2119.59,50000,0
,,12000,50000,0
,,17091.78,50000,2
,,42000,50000,0
,,653.95,50000,0
,,9000,50000,0
,,2795.69,50000,2
,,11800,50000,1
,,8316.69,50000,1
,,14800,50000,2
,,17623.87,50000,2
,,22200,50000,0
,,50000,50000,2
,,28840.59,50000,2
,,29659.96,50000,2
,,16000,50000,2
,,9800,50000,0
,,7055.9,50000,2
,,178.86,50000,2
,,700,50000,0
,,187.59,50000,2
,,35151.41,50000,2
,,34107.46,50000,2
,,19000,50000,2
,,6900,50000,0
,,49988.55,50000,2
,,10521.79,50000,2
,,23100,50000,2
,,7000,50000,0
,,47000,50000,2
,,168.31,50000,0
,,25740.72,50000,2
,,38505.15,50000,2
,,15800,50000,1
,,4800,50000,1
,,48784.71,50000,2
,,11800,50000,0
,,27611.24,50000,2
,,9200,50000,2
,,33000,50000,0
,,3000,50000,0
,,38862.79,50000,2
,,9200,50000,0
,,12500,50000,2
,,8400,50000,0
,,25500,50000,2
,,15056.81,50000,2
,,15394.02,50000,2
,,48500,50000,0
,,6000,50000,1
,,36442.85,50000,2
,,43871.53,50000,2
,,4000,50000,1
,,18000,50000,0
,,14217.95,50000,2
,,41754.13,50000,2
,,26918.16,50000,2
,,21823.25,50000,2
,,21582.54,50000,2
,,9200,50000,2
,,25979.01,50000,2
,,2800,50000,0
,,26349.28,50000,2
,,27600,50000,0
,,2200,50000,1
,,3300,50000,0
,,20526.39,50000,2
,,29101.85,50000,2
,,3448.81,50000,0
,,26732.61,50000,2
,,30500,50000,0
,,44902.74,50000,2
,,3500,50000,0
,,13500,50000,2
,,2400,50000,0
,,30818.45,50000,2
,,400,50000,0
,,36400,50000,0
,,16962.11,50000,2
,,3148.42,50000,1
,,1500,50000,0
,,14445.03,50000,2
,,7110.13,50000,1
,,14800,50000,0
,,31014.2,50000,2
,,13850.47,50000,2
,,16500,50000,2
,,3900,50000,0
,,32613.21,50000,2
,,7500,50000,0
,,44000,50000,0
,,3100,50000,0
,,40957.48,50000,2
,,42899.66,50000,2
,,32800,50000,0
,,34786.92,50000,2
,,10706.13,50000,2
,,824.4,50000,0
,,41634.89,50000,2
,,500,50000,0
,,26257.64,50000,2
,,16800,50000,0
,,5300,50000,0
,,42812.97,50000,2
,,3400,50000,0
,,11200,50000,2
,,41000,50000,0
,,15308.39,50000,2
,,1700,50000,0
,,18978.88,50000,2
,,36500,50000,2
,,11088,50000,1
,,31529.28,50000,2
,,800,50000,0
,,6533.87,50000,0
,,4400,50000,1
,,40857.21,50000,2
,,5200,50000,0
,,30000,50000,0
,,47034.91,50000,2
,,2000,50000,0
,,21267.08,50000,2
,,41918.95,50000,2
,,11421.46,50000,2
,,24000,50000,2
,,1200,50000,0
,,33410.89,50000,2
,,8000,50000,0
,,9400,50000,1
,,30000,50000,2
,,8121.84,50000,0
,,27285.83,50000,2
,,19600,50000,2
,,43784.46,50000,2
,,700,50000,0
,,33410.13,50000,2
,,41931.77,50000,2
,,7600,50000,1
,,47043.98,50000,2
,,2200,50000,1
,,13836.28,50000,2
,,5571.67,50000,0
,,310.16,50000,0
,,18000,50000,1
,,14400,50000,0
,,41381.44,50000,2
,,36466.8,50000,2
,,24402.54,50000,2
,,6300,50000,0
,,4528.14,50000,2
,,2000,50000,2
,,45894.27,50000,2
,,23069.89,50000,2
