transactions,locations,total_amount,limit,result,risk_flag
2,2,41634.89,50000,2,Fraud
1,1,500.0,50000,0,Clean
2,2,26257.64,50000,2,Fraud
3,2,16800.0,50000,0,Clean
1,1,5300.0,50000,0,Clean
5,4,42812.97,50000,2,Fraud
1,1,3400.0,50000,0,Clean
4,4,11200.0,50000,2,Fraud
5,1,41000.0,50000,0,Suspecious
2,1,15308.39,50000,2,Fraud
1,1,1700.0,50000,0,Clean
5,4,18978.88,50000,2,Fraud
5,5,36500.0,50000,2,Fraud
2,2,11088.0,50000,1,Clean
2,1,31529.28,50000,2,Fraud
4,2,800.0,50000,0,Clean
1,1,6533.87,50000,0,Clean
2,2,4400.0,50000,1,Clean
4,2,40857.21,50000,2,Fraud
1,1,5200.0,50000,0,Clean
3,2,30000.0,50000,0,Clean
4,4,47034.91,50000,2,Fraud
1,1,2000.0,50000,0,Clean
2,2,21267.08,50000,2,Fraud
4,3,41918.95,50000,2,Fraud
3,1,11421.46,50000,2,Fraud
3,3,24000.0,50000,2,Fraud
3,1,1200.0,50000,0,Clean
3,3,33410.89,50000,2,Fraud
1,1,8000.0,50000,0,Clean
2,2,9400.0,50000,1,Clean
5,4,30000.0,50000,2,Fraud
2,1,8121.84,50000,0,Clean
1,1,27285.83,50000,2,Fraud
4,4,19600.0,50000,2,Fraud
5,5,43784.46,50000,2,Fraud
1,1,700.0,50000,0,Clean
5,3,33410.13,50000,2,Fraud
2,1,41931.77,50000,2,Fraud
2,2,7600.0,50000,1,Clean
3,2,47043.98,50000,2,Fraud
2,2,2200.0,50000,1,Clean
1,1,13836.28,50000,2,Fraud
5,2,5571.67,50000,0,Clean
2,1,310.16,50000,0,Clean
2,2,18000.0,50000,1,Clean
3,2,14400.0,50000,0,Clean
2,2,41381.44,50000,2,Fraud
5,4,36466.8,50000,2,Fraud
5,3,24402.54,50000,2,Fraud
1,1,6300.0,50000,0,Clean
5,5,4528.14,50000,2,Fraud
5,3,2000.0,50000,2,Fraud
3,1,45894.27,50000,2,Fraud
1,1,23069.89,50000,2,Fraud
2,1,10200.0,50000,0,Clean
4,1,28400.0,50000,0,Clean
1,1,13609.99,50000,2,Fraud
5,5,24500.0,50000,2,Fraud
1,1,7200.0,50000,0,Clean
3,2,28392.73,50000,2,Fraud
2,2,3000.0,50000,1,Clean
4,4,3200.0,50000,2,Fraud
3,3,17400.0,50000,2,Fraud
5,2,25358.75,50000,2,Fraud
2,2,10800.0,50000,1,Clean
1,1,9700.0,50000,0,Clean
1,1,8700.0,50000,0,Clean
4,4,29600.0,50000,2,Fraud
1,1,8700.0,50000,0,Clean
2,1,16600.0,50000,0,Clean
5,2,12000.0,50000,0,Clean
2,1,37833.39,50000,2,Fraud
1,1,8200.0,50000,0,Clean
3,1,25500.0,50000,0,Clean
3,1,38874.75,50000,2,Fraud
2,2,18000.0,50000,1,Clean
2,1,6000.0,50000,0,Clean
4,4,28000.0,50000,2,Fraud
2,1,5800.0,50000,0,Clean
3,2,22200.0,50000,0,Clean
4,3,26621.64,50000,2,Fraud
4,2,30400.0,50000,0,Clean
3,3,24111.18,50000,2,Fraud
5,3,32500.0,50000,2,Fraud
5,5,18000.0,50000,2,Fraud
5,5,19306.35,50000,2,Fraud
4,4,39600.0,50000,2,Fraud
5,5,18801.64,50000,2,Fraud
3,1,24377.66,50000,2,Fraud
3,1,4200.0,50000,0,Clean
4,1,15919.85,50000,2,Fraud
3,2,900.0,50000,0,Clean
5,3,25000.0,50000,2,Fraud
2,1,48592.71,50000,2,Fraud
3,2,21600.0,50000,0,Clean
1,1,10978.58,50000,2,Fraud
5,2,36500.0,50000,0,Clean
5,5,31000.0,50000,2,Fraud
1,1,9800.0,50000,0,Clean
3,2,19301.82,50000,2,Fraud
3,3,3392.49,50000,2,Fraud
1,1,5900.0,50000,0,Clean
1,1,7400.0,50000,0,Clean
1,1,9876.14,50000,0,Clean
1,1,1200.0,50000,0,Clean
5,1,38000.0,50000,0,Suspecious
4,1,35200.0,50000,0,Suspecious
2,2,29457.07,50000,2,Fraud
4,2,23017.42,50000,2,Fraud
3,2,3496.35,50000,0,Clean
5,2,31523.8,50000,2,Fraud
5,3,39500.0,50000,2,Fraud
5,1,12000.0,50000,0,Clean
5,2,37000.0,50000,0,Clean
2,2,4000.0,50000,1,Clean
2,1,49568.11,50000,2,Fraud
1,1,9700.0,50000,0,Clean
3,1,5000.23,50000,0,Clean
4,1,1403.52,50000,0,Clean
2,1,37817.1,50000,2,Fraud
4,2,7009.92,50000,0,Clean
5,2,17426.37,50000,2,Fraud
4,1,9200.0,50000,0,Clean
1,1,11004.72,50000,2,Fraud
1,1,9900.0,50000,0,Clean
5,1,34594.63,50000,2,Fraud
5,4,44813.78,50000,2,Fraud
5,1,37000.0,50000,0,Suspecious
4,4,16800.0,50000,2,Fraud
3,3,8100.0,50000,2,Fraud
5,2,25500.0,50000,0,Clean
2,2,35612.88,50000,2,Fraud
3,1,15900.0,50000,0,Clean
5,2,23649.64,50000,2,Fraud
3,3,25260.41,50000,2,Fraud
4,3,15456.38,50000,2,Fraud
2,2,9201.34,50000,1,Clean
4,4,2400.0,50000,2,Fraud
1,1,4451.9,50000,0,Clean
5,3,18896.22,50000,2,Fraud
2,2,6400.0,50000,1,Clean
1,1,7100.0,50000,0,Clean
3,3,30000.0,50000,2,Fraud
4,1,5661.28,50000,0,Clean
2,2,36527.38,50000,2,Fraud
2,2,4200.0,50000,1,Clean
1,1,40253.28,50000,2,Fraud
4,2,23687.86,50000,2,Fraud
5,2,22665.89,50000,2,Fraud
2,2,44033.22,50000,2,Fraud
4,4,17600.0,50000,2,Fraud
1,1,8600.0,50000,0,Clean
2,2,13581.3,50000,2,Fraud
1,1,36103.81,50000,2,Fraud
5,2,18000.0,50000,0,Clean
2,2,17575.17,50000,2,Fraud
1,1,6500.0,50000,0,Clean
4,1,30800.0,50000,0,Suspecious
5,2,42500.0,50000,0,Clean
1,1,4200.0,50000,0,Clean
2,2,43811.81,50000,2,Fraud
3,1,24600.0,50000,0,Clean
1,1,28237.56,50000,2,Fraud
1,1,8000.0,50000,0,Clean
4,2,18800.0,50000,0,Clean
4,4,28000.0,50000,2,Fraud
4,4,2097.57,50000,2,Fraud
1,1,9780.87,50000,0,Clean
2,2,13800.0,50000,1,Clean
2,2,15000.0,50000,1,Clean
4,3,19474.89,50000,2,Fraud
3,1,998.69,50000,0,Clean
1,1,6100.0,50000,0,Clean
2,2,36913.89,50000,2,Fraud
2,1,16000.0,50000,0,Clean
5,1,45000.0,50000,0,Suspecious
3,3,11933.08,50000,2,Fraud
3,2,27900.0,50000,0,Clean
4,3,42994.85,50000,2,Fraud
5,5,27000.0,50000,2,Fraud
5,1,7500.0,50000,0,Clean
5,2,37500.0,50000,0,Clean
5,2,41328.92,50000,2,Fraud
3,2,5700.0,50000,0,Clean
3,1,13310.08,50000,2,Fraud
3,3,12300.0,50000,2,Fraud
5,4,33500.0,50000,2,Fraud
1,1,9700.0,50000,0,Clean
2,1,3400.0,50000,0,Clean
1,1,30390.22,50000,2,Fraud
2,1,10880.27,50000,2,Fraud
5,4,12606.09,50000,2,Fraud
3,2,25464.9,50000,2,Fraud
1,1,9000.0,50000,0,Clean
1,1,31088.57,50000,2,Fraud
2,2,16200.0,50000,1,Clean
4,3,24800.0,50000,2,Fraud
1,1,19333.42,50000,2,Fraud
4,3,25200.0,50000,2,Fraud
4,1,742.4,50000,0,Clean
3,3,14400.0,50000,2,Fraud
4,1,19200.0,50000,0,Clean
3,1,18257.95,50000,2,Fraud
2,2,3800.0,50000,1,Clean
2,1,13400.0,50000,0,Clean
4,4,800.0,50000,2,Fraud
2,1,6400.0,50000,0,Clean
1,1,5514.62,50000,0,Clean
5,1,32440.41,50000,2,Fraud
3,2,28613.49,50000,2,Fraud
4,4,2800.0,50000,2,Fraud
1,1,5063.57,50000,0,Clean
3,3,14955.53,50000,2,Fraud
4,1,28800.0,50000,0,Clean
3,1,13200.0,50000,0,Clean
5,4,11985.3,50000,2,Fraud
3,2,34003.52,50000,2,Fraud
1,1,2800.0,50000,0,Clean
2,2,4200.0,50000,1,Clean
3,3,44389.83,50000,2,Fraud
4,4,33109.02,50000,2,Fraud
5,3,10960.07,50000,2,Fraud
2,2,7600.0,50000,1,Clean
3,3,19800.0,50000,2,Fraud
2,1,107.9,50000,0,Clean
3,2,9000.0,50000,0,Clean
5,5,11703.0,50000,2,Fraud
2,2,3400.0,50000,1,Clean
1,1,46875.35,50000,2,Fraud
2,2,46811.37,50000,2,Fraud
1,1,20829.63,50000,2,Fraud
1,1,32373.25,50000,2,Fraud
1,1,3700.0,50000,0,Clean
3,3,28200.0,50000,2,Fraud
3,3,19800.0,50000,2,Fraud
3,2,24483.06,50000,2,Fraud
5,1,34289.44,50000,2,Fraud
4,4,37582.83,50000,2,Fraud
4,3,4220.7,50000,2,Fraud
4,4,7960.58,50000,2,Fraud
3,1,15900.0,50000,0,Clean
5,3,28500.0,50000,2,Fraud
3,2,34432.13,50000,2,Fraud
3,1,9600.0,50000,0,Clean
4,4,3600.0,50000,2,Fraud
5,2,35317.39,50000,2,Fraud
1,1,26159.13,50000,2,Fraud
5,1,37000.0,50000,0,Suspecious
1,1,8800.0,50000,0,Clean
4,1,48545.31,50000,2,Fraud
5,4,43500.0,50000,2,Fraud
4,3,8400.0,50000,2,Fraud
1,1,17103.2,50000,2,Fraud
5,2,1205.43,50000,0,Clean
4,3,44233.78,50000,2,Fraud
4,3,23150.28,50000,2,Fraud
4,1,25418.16,50000,2,Fraud
3,2,48300.6,50000,2,Fraud
2,1,44602.22,50000,2,Fraud
4,1,30585.52,50000,2,Fraud
4,3,27397.74,50000,2,Fraud
3,2,6000.0,50000,0,Clean
1,1,4200.0,50000,0,Clean
2,1,8600.0,50000,0,Clean
3,1,18600.0,50000,0,Clean
5,2,34336.69,50000,2,Fraud
4,4,27774.79,50000,2,Fraud
3,1,2419.54,50000,0,Clean
5,5,42500.0,50000,2,Fraud
5,2,17878.53,50000,2,Fraud
3,3,2387.05,50000,2,Fraud
5,1,1500.0,50000,0,Clean
4,4,5952.63,50000,2,Fraud
2,1,15991.7,50000,2,Fraud
5,2,37479.33,50000,2,Fraud
4,3,24133.36,50000,2,Fraud
3,1,27000.0,50000,0,Clean
3,2,14400.0,50000,0,Clean
4,3,27200.0,50000,2,Fraud
2,1,30016.48,50000,2,Fraud
1,1,3336.28,50000,0,Clean
4,3,36800.0,50000,2,Fraud
4,2,23881.93,50000,2,Fraud
4,1,16492.69,50000,2,Fraud
2,2,616.44,50000,1,Clean
4,2,29600.0,50000,0,Clean
5,4,34261.17,50000,2,Fraud
5,2,11246.74,50000,2,Fraud
1,1,9000.0,50000,0,Clean
5,2,37500.0,50000,0,Clean
1,1,1043.94,50000,0,Clean
5,4,37500.0,50000,2,Fraud
2,2,16448.77,50000,2,Fraud
2,2,8000.0,50000,1,Clean
5,5,24500.0,50000,2,Fraud
1,1,2400.0,50000,0,Clean
1,1,36423.13,50000,2,Fraud
5,3,31136.39,50000,2,Fraud
5,5,19000.0,50000,2,Fraud
3,1,48944.21,50000,2,Fraud
3,1,13628.12,50000,2,Fraud
4,1,28800.0,50000,0,Clean
4,4,34800.0,50000,2,Fraud
1,1,43306.14,50000,2,Fraud
4,4,1800.67,50000,2,Fraud
3,3,37930.35,50000,2,Fraud
5,2,42500.0,50000,0,Clean
5,2,21500.0,50000,0,Clean
3,3,16254.24,50000,2,Fraud
2,2,1300.61,50000,1,Clean
5,2,46500.0,50000,0,Clean
2,2,19400.0,50000,1,Clean
5,1,43559.51,50000,2,Fraud
2,2,40244.48,50000,2,Fraud
4,4,32885.97,50000,2,Fraud
3,1,18061.6,50000,2,Fraud
5,5,9167.23,50000,2,Fraud
4,2,8400.0,50000,0,Clean
5,1,24000.0,50000,0,Clean
4,3,20812.37,50000,2,Fraud
1,1,9800.0,50000,0,Clean
4,4,19885.76,50000,2,Fraud
5,2,4153.3,50000,0,Clean
2,1,21150.87,50000,2,Fraud
3,2,16500.0,50000,0,Clean
5,1,40500.0,50000,0,Suspecious
4,1,10000.0,50000,0,Clean
4,3,12800.0,50000,2,Fraud
4,3,43248.91,50000,2,Fraud
4,4,37242.35,50000,2,Fraud
2,2,25963.33,50000,2,Fraud
4,1,25388.81,50000,2,Fraud
3,2,2100.0,50000,0,Clean
3,3,27841.99,50000,2,Fraud
2,1,17600.0,50000,0,Clean
5,1,19500.0,50000,0,Clean
3,1,16500.0,50000,0,Clean
4,3,45873.89,50000,2,Fraud
3,3,17700.0,50000,2,Fraud
5,3,40982.46,50000,2,Fraud
3,3,20400.0,50000,2,Fraud
4,4,694.1,50000,2,Fraud
3,2,3600.0,50000,0,Clean
3,1,37407.47,50000,2,Fraud
1,1,7100.0,50000,0,Clean
1,1,800.0,50000,0,Clean
2,1,46338.53,50000,2,Fraud
2,1,6000.0,50000,0,Clean
1,1,8163.44,50000,0,Clean
4,3,35000.12,50000,2,Fraud
2,1,17000.0,50000,0,Clean
5,1,12273.27,50000,2,Fraud
3,3,5644.78,50000,2,Fraud
5,1,9766.56,50000,0,Clean
1,1,2785.3,50000,0,Clean
3,2,4500.0,50000,0,Clean
4,2,12000.0,50000,0,Clean
3,2,17973.7,50000,2,Fraud
2,2,1600.0,50000,1,Clean
2,2,10348.72,50000,2,Fraud
3,3,22182.44,50000,2,Fraud
5,4,14000.0,50000,2,Fraud
4,1,38900.98,50000,2,Fraud
5,2,1000.0,50000,0,Clean
5,5,3299.98,50000,2,Fraud
2,1,44580.44,50000,2,Fraud
5,3,11950.88,50000,2,Fraud
2,2,21019.22,50000,2,Fraud
1,1,2635.04,50000,0,Clean
1,1,7700.0,50000,0,Clean
3,2,12300.0,50000,0,Clean
5,4,8115.17,50000,2,Fraud
3,3,22800.0,50000,2,Fraud
1,1,5100.0,50000,0,Clean
5,4,36500.0,50000,2,Fraud
1,1,7000.0,50000,0,Clean
4,1,2659.07,50000,0,Clean
2,2,7800.0,50000,1,Clean
5,1,17000.0,50000,0,Clean
4,2,8440.12,50000,0,Clean
4,3,40182.32,50000,2,Fraud
5,4,41000.0,50000,2,Fraud
4,4,33094.54,50000,2,Fraud
3,3,23100.0,50000,2,Fraud
5,1,40000.0,50000,0,Suspecious
2,1,45429.72,50000,2,Fraud
1,1,4100.0,50000,0,Clean
2,2,8600.0,50000,1,Clean
2,1,32993.31,50000,2,Fraud
2,1,2497.11,50000,0,Clean
2,1,24508.17,50000,2,Fraud
4,2,27200.0,50000,0,Clean
1,1,49358.03,50000,2,Fraud
5,4,33892.85,50000,2,Fraud
1,1,5600.0,50000,0,Clean
4,1,3804.15,50000,0,Clean
2,2,3285.66,50000,1,Clean
2,2,10200.0,50000,1,Clean
3,2,18600.0,50000,0,Clean
3,2,8718.42,50000,0,Clean
3,3,28800.0,50000,2,Fraud
3,1,27600.0,50000,0,Clean
1,1,3200.0,50000,0,Clean
3,3,23470.12,50000,2,Fraud
1,1,22302.19,50000,2,Fraud
1,1,8800.0,50000,0,Clean
4,3,2722.87,50000,2,Fraud
1,1,2900.0,50000,0,Clean
1,1,8200.0,50000,0,Clean
4,1,37200.0,50000,0,Suspecious
2,1,29183.72,50000,2,Fraud
3,3,46977.35,50000,2,Fraud
4,4,38491.74,50000,2,Fraud
1,1,3500.0,50000,0,Clean
1,1,8600.0,50000,0,Clean
5,4,19000.0,50000,2,Fraud
4,2,2400.0,50000,0,Clean
5,5,10887.11,50000,2,Fraud
1,1,2500.0,50000,0,Clean
3,1,25200.0,50000,0,Clean
3,3,8226.05,50000,2,Fraud
2,1,10200.0,50000,0,Clean
5,1,3895.76,50000,0,Clean
5,3,18000.0,50000,2,Fraud
1,1,8400.0,50000,0,Clean
1,1,5791.91,50000,0,Clean
5,3,33406.48,50000,2,Fraud
3,2,9600.0,50000,0,Clean
1,1,4000.0,50000,0,Clean
2,1,17600.0,50000,0,Clean
1,1,14736.13,50000,2,Fraud
1,1,3700.0,50000,0,Clean
5,2,10340.64,50000,2,Fraud
5,2,27244.11,50000,2,Fraud
1,1,8200.0,50000,0,Clean
5,3,45500.0,50000,2,Fraud
5,4,38913.01,50000,2,Fraud
2,2,16946.73,50000,2,Fraud
4,3,18000.0,50000,2,Fraud
4,2,37050.1,50000,2,Fraud
2,1,15400.0,50000,0,Clean
5,2,14417.11,50000,2,Fraud
4,3,27825.76,50000,2,Fraud
5,3,9042.9,50000,2,Fraud
2,1,1814.09,50000,0,Clean
5,1,17983.45,50000,2,Fraud
2,2,26379.83,50000,2,Fraud
2,1,4200.0,50000,0,Clean
4,3,19369.96,50000,2,Fraud
3,2,12300.0,50000,0,Clean
4,4,2800.0,50000,2,Fraud
1,1,6400.0,50000,0,Clean
5,1,6179.94,50000,0,Clean
4,1,4582.17,50000,0,Clean
2,2,16600.0,50000,1,Clean
5,4,31016.05,50000,2,Fraud
4,1,18400.0,50000,0,Clean
1,1,34391.08,50000,2,Fraud
2,2,16478.1,50000,2,Fraud
2,2,5998.43,50000,1,Clean
5,4,23989.23,50000,2,Fraud
2,2,1200.0,50000,1,Clean
3,1,39994.34,50000,2,Fraud
3,2,45883.22,50000,2,Fraud
2,1,2400.0,50000,0,Clean
5,4,785.34,50000,2,Fraud
2,1,16600.0,50000,0,Clean
1,1,1300.0,50000,0,Clean
5,1,14500.0,50000,0,Clean
4,1,19200.0,50000,0,Clean
5,1,44432.37,50000,2,Fraud
2,1,6212.7,50000,0,Clean
1,1,822.16,50000,0,Clean
5,1,31598.45,50000,2,Fraud
3,1,18900.0,50000,0,Clean
3,1,21856.16,50000,2,Fraud
3,2,21300.0,50000,0,Clean
3,3,27000.0,50000,2,Fraud
4,1,19600.0,50000,0,Clean
2,2,14800.0,50000,1,Clean
4,1,15440.63,50000,2,Fraud
3,1,10800.0,50000,0,Clean
4,2,3636.12,50000,0,Clean
5,4,18213.15,50000,2,Fraud
5,4,3000.0,50000,2,Fraud
4,2,23200.0,50000,0,Clean
4,4,18278.53,50000,2,Fraud
4,4,17014.8,50000,2,Fraud
3,2,46549.83,50000,2,Fraud
4,3,30800.0,50000,2,Fraud
1,1,7900.0,50000,0,Clean
4,2,35240.18,50000,2,Fraud
1,1,6600.0,50000,0,Clean
4,2,26000.0,50000,0,Clean
1,1,8800.0,50000,0,Clean
5,5,21643.89,50000,2,Fraud
3,1,26100.0,50000,0,Clean
1,1,6800.0,50000,0,Clean
3,1,24000.0,50000,0,Clean
4,4,29282.22,50000,2,Fraud
3,1,27725.4,50000,2,Fraud
5,2,11500.0,50000,0,Clean
2,2,15000.0,50000,1,Clean
4,3,9600.0,50000,2,Fraud
5,2,50000.0,50000,0,Clean
3,2,24000.0,50000,0,Clean
1,1,21764.87,50000,2,Fraud
2,2,14600.0,50000,1,Clean
2,1,44422.36,50000,2,Fraud
3,1,12600.0,50000,0,Clean
2,1,6400.0,50000,0,Clean
2,2,30925.11,50000,2,Fraud
3,1,36519.16,50000,2,Fraud
3,3,3300.0,50000,2,Fraud
3,1,15300.0,50000,0,Clean
5,3,23000.0,50000,2,Fraud
1,1,9662.57,50000,0,Clean
2,2,2400.0,50000,1,Clean
4,1,6800.0,50000,0,Clean
5,1,1000.0,50000,0,Clean
4,3,22400.0,50000,2,Fraud
4,2,44541.24,50000,2,Fraud
4,1,14422.11,50000,2,Fraud
4,2,35600.0,50000,0,Clean
5,2,487.31,50000,0,Clean
5,3,5299.97,50000,2,Fraud
4,2,28400.0,50000,0,Clean
3,3,40788.38,50000,2,Fraud
5,2,17059.9,50000,2,Fraud
4,1,23092.35,50000,2,Fraud
2,1,19412.65,50000,2,Fraud
2,1,7400.0,50000,0,Clean
4,2,25367.61,50000,2,Fraud
5,1,16556.98,50000,2,Fraud
2,2,29074.8,50000,2,Fraud
4,3,34168.69,50000,2,Fraud
4,1,39726.2,50000,2,Fraud
5,3,18500.0,50000,2,Fraud
3,1,12000.0,50000,0,Clean
1,1,46071.33,50000,2,Fraud
3,1,29400.0,50000,0,Clean
1,1,36234.2,50000,2,Fraud
3,1,28053.48,50000,2,Fraud
3,2,39408.64,50000,2,Fraud
4,1,6123.08,50000,0,Clean
4,3,30944.19,50000,2,Fraud
4,2,5389.37,50000,0,Clean
5,3,22706.81,50000,2,Fraud
1,1,3700.0,50000,0,Clean
2,2,32608.11,50000,2,Fraud
2,2,4200.0,50000,1,Clean
5,3,48500.0,50000,2,Fraud
4,2,22800.0,50000,0,Clean
4,3,7813.24,50000,2,Fraud
3,1,23700.0,50000,0,Clean
1,1,7100.0,50000,0,Clean
1,1,25590.91,50000,2,Fraud
4,3,24000.0,50000,2,Fraud
3,1,21600.0,50000,0,Clean
3,2,586.87,50000,0,Clean
3,1,3300.0,50000,0,Clean
1,1,6200.0,50000,0,Clean
3,2,27900.0,50000,0,Clean
4,3,42036.9,50000,2,Fraud
1,1,3300.0,50000,0,Clean
4,4,25600.0,50000,2,Fraud
4,4,35566.21,50000,2,Fraud
4,2,16000.0,50000,0,Clean
2,2,15749.97,50000,2,Fraud
1,1,700.0,50000,0,Clean
4,4,7614.92,50000,2,Fraud
3,2,43450.13,50000,2,Fraud
1,1,1000.0,50000,0,Clean
4,4,36000.0,50000,2,Fraud
2,2,47636.49,50000,2,Fraud
5,2,21000.0,50000,0,Clean
3,1,1800.0,50000,0,Clean
3,1,2700.0,50000,0,Clean
3,1,3372.95,50000,0,Clean
4,4,25716.33,50000,2,Fraud
4,1,20153.18,50000,2,Fraud
2,2,16281.85,50000,2,Fraud
4,2,8391.6,50000,0,Clean
5,1,47244.54,50000,2,Fraud
2,1,11600.0,50000,0,Clean
4,1,20360.87,50000,2,Fraud
3,2,14045.08,50000,2,Fraud
4,1,13600.0,50000,0,Clean
4,4,41437.83,50000,2,Fraud
3,1,5400.0,50000,0,Clean
2,1,18200.0,50000,0,Clean
4,4,42121.35,50000,2,Fraud
3,2,1951.43,50000,0,Clean
5,3,46956.07,50000,2,Fraud
3,3,23700.0,50000,2,Fraud
5,1,15023.62,50000,2,Fraud
5,5,13268.4,50000,2,Fraud
3,2,9000.0,50000,0,Clean
4,3,26000.0,50000,2,Fraud
4,4,19200.0,50000,2,Fraud
5,2,2949.47,50000,0,Clean
3,3,24300.0,50000,2,Fraud
1,1,9500.0,50000,0,Clean
1,1,48978.75,50000,2,Fraud
2,2,30339.72,50000,2,Fraud
5,4,2500.0,50000,2,Fraud
5,4,3000.0,50000,2,Fraud
3,1,14400.0,50000,0,Clean
2,1,44695.89,50000,2,Fraud
2,2,7228.26,50000,1,Clean
4,4,28000.0,50000,2,Fraud
3,3,24680.34,50000,2,Fraud
2,1,30722.14,50000,2,Fraud
5,2,47827.28,50000,2,Fraud
3,3,15900.0,50000,2,Fraud
5,5,38546.77,50000,2,Fraud
1,1,11658.52,50000,2,Fraud
5,4,7947.18,50000,2,Fraud
1,1,6000.0,50000,0,Clean
4,1,7381.62,50000,0,Clean
4,3,10287.41,50000,2,Fraud
3,3,14100.0,50000,2,Fraud
2,2,18732.54,50000,2,Fraud
3,1,10200.0,50000,0,Clean
